"info.firstname","info.surname","info.managerid","info.gender","nationality","team_name","team_id","domestic_prestige","profitability","info.real_face","info.height","info.weight","info.contract.jointeamdate"
"Uwe","Koschinat",250627,"Male","Germany","Rot-Weiß Essen",526,6,2,"No",178,75,"2024-12-12"
"John","Russell",269585,"Male","Republic of Ireland","Sligo Rovers",563,6,4,"No",173,75,"2022-06-02"
"Hans","Cornelis",83518,"Male","Belgium","Charleroi",670,5,4,"No",182,75,"2026-01-06"
"Wouter","Vrancken",251205,"Male","Belgium","Sint-Truiden",680,5,3,"No",185,75,"2025-04-15"
"Eldar","Abdulic",82870,"Male","Sweden","IFK Norrköping",702,5,3,"No",180,75,"2025-12-16"
"Mario","Frick",258145,"Male","Liechtenstein","FC Luzern",897,5,3,"No",182,75,"2021-12-21"
"Geir","Bakke",249457,"Male","Norway","Vålerenga Fotball",920,5,6,"No",170,75,"2023-07-13"
"Sun Hong","Hwang",241684,"Male","Korea Republic","Daejeon Hana Citizen",980,5,9,"No",183,80,"2024-06-03"
"Nickolai","Lund",79405,"Male","Denmark","Viborg FF",1443,5,4,"No",184,75,"2025-07-01"
"Sérgio","e Castro Costa",82928,"Male","Portugal","Jeju SK FC",1478,5,6,"No",174,75,"2025-12-24"
"John","Caulfield",249697,"Male","Republic of Ireland","Galway United",1571,5,2,"No",180,75,"2020-08-21"
"Francesc","Fàbregas i Soler",279104,"Male","Spain","Como",1745,6,10,"Yes",179,75,"2024-07-01"
"Lars","Friis",262461,"Male","Denmark","Cercle Brugge",1750,6,4,"No",180,75,"2024-06-12"
"Andreas","Tegström",76104,"Male","Sweden","Sandefjord Fotball",1757,5,5,"No",186,75,"2021-01-01"
"Rasmus","Bertelsen",250346,"Male","Denmark","Randers FC",1786,6,7,"No",176,75,"2023-03-23"
"Jens","Fønsskov Olsen",73116,"Male","Denmark","FC Nordsjælland",1788,6,8,"No",179,75,"2024-07-01"
"Oliver","Glasner",152260,"Male","Austria","Crystal Palace",1799,6,8,"Yes",181,72,"2024-02-20"
"Fabian","Hürzeler",273963,"Male","Germany","Brighton & Hove Albion",1808,5,9,"Yes",183,75,"2024-06-15"
"Moreno","Longo",154629,"Male","Italy","Bari",1848,6,5,"No",176,68,"2026-01-19"
"José","Bordalás Jiménez",249735,"Male","Spain","Getafe CF",1860,5,6,"Yes",180,75,"2023-04-29"
"Peter","Zeidler",250308,"Male","Germany","FC Lausanne-Sport",1862,5,3,"No",184,75,"2018-07-01"
"Iván","Ania Cadavieco",250880,"Male","Spain","Córdoba CF",1867,6,6,"No",175,75,"2023-07-01"
"Byung Soo","Kim",249082,"Male","Korea Republic","Daegu FC",2056,5,6,"No",179,75,"2025-06-01"
"Mattia","Croci-Torti",264598,"Male","Switzerland","FC Lugano",10032,6,3,"No",178,75,"2021-09-20"
"Sven","Vandenbroeck",270628,"Male","Belgium","Zulte Waregem",15005,5,5,"No",181,75,"2022-07-16"
"Željko","Kopić",265686,"Male","Croatia","Dinamo București",100757,6,5,"No",177,75,"2023-12-01"
"Nuri","Şahin",265497,"Male","Turkey","İstanbul Başakşehir FK",101014,6,4,"Yes",180,75,"2025-09-15"
"Volkan","Demirel",266022,"Male","Turkey","Gençlerbirliği",101025,6,5,"No",191,75,"2026-03-03"
"Selçuk","İnan",272653,"Male","Turkey","Kocaelispor",101032,5,7,"No",182,75,"2025-07-01"
"İlhan","Palut",254545,"Male","Turkey","Konyaspor",101033,5,4,"No",175,75,"2026-02-06"
"Stjepan","Tomas",254466,"Male","Croatia","SC Oțelul Galați",110072,5,7,"No",186,75,"2026-03-18"
"Ianis","Zicu",78983,"Male","Romania","Farul Constanța",110075,6,4,"No",180,75,"2025-06-03"
"Rafał","Górak",72880,"Male","Poland","GKS Katowice",110206,5,5,"No",183,75,"2019-06-03"
"Paolo","Vanoli",266077,"Male","Italy","Fiorentina",110374,6,6,"No",184,75,"2022-11-07"
"Mauricio","Pellegrino",10974,"Male","Argentina","Lanús",110395,5,7,"Yes",193,84,"2024-01-24"
"Frank","Kudelka",249422,"Male","Argentina","Newell's Old Boys",110396,6,4,"No",176,75,"2026-02-26"
"Luc","Holtz",71339,"Male","Luxembourg","SV Waldhof Mannheim",110532,5,1,"No",176,75,"2025-08-12"
"Daniele","De Rossi",271997,"Male","Italy","Genoa",110556,4,5,"Yes",184,75,"2025-11-06"
"Jorge","Almirón",156367,"Male","Argentina","Rosario Central",110580,5,5,"No",185,80,"2022-10-13"
"Marian","Wilhelm",79240,"Male","Germany","Viktoria Köln",110645,6,1,"No",185,75,"2025-06-26"
"Frederik","Vanderbiest",249437,"Male","Belgium","KV Mechelen",110724,5,5,"No",180,75,"2025-04-01"
"Thomas","Thomasberg",41039,"Male","Denmark","Pogoń Szczecin",110746,7,5,"No",180,75,"2025-09-30"
"Didier","Tholot",249248,"Male","France","FC Sion",110770,5,3,"No",172,75,"2023-07-01"
"Guillermo","Almada",79445,"Male","Uruguay","Real Oviedo",110827,6,7,"No",183,75,"2025-12-16"
"José Luís","Oltra Castañer",249769,"Male","Spain","SD Huesca",110839,6,7,"No",175,75,"2026-03-16"
"Alberto","Aquilani",276254,"Male","Italy","Catanzaro",110908,5,4,"No",186,75,"2025-07-01"
"Nicolás","Diez",76630,"Male","Argentina","Argentinos Juniors",111019,5,4,"No",173,75,"2025-01-01"
"Daniel","Myśliwiec",278078,"Male","Poland","Piast Gliwice",111086,4,3,"No",180,75,"2025-10-23"
"Mateusz","Stolarski",72881,"Male","Poland","Motor Lublin",111097,5,4,"No",175,75,"2024-03-18"
"Airton","Andrioli",79177,"Male","Brazil","Adelaide United",111393,6,6,"No",170,75,"2025-05-26"
"Mark","Milligan",78428,"Male","Australia","Newcastle Jets",111398,5,3,"No",178,75,"2025-05-06"
"Fredrik","Holmberg",70131,"Male","Sweden","GAIS",111594,5,4,"No",180,75,"2021-11-01"
"Mehrajuddin","Wadoo",77030,"Male","India","Mohammedan SC",111633,5,6,"No",185,75,"2025-09-01"
"Noureddine","Zekri",250181,"Male","Algeria","Al Shabab",111674,6,8,"No",175,75,"2026-02-17"
"Mariano","Soso",250003,"Male","Argentina","Defensa y Justicia",111710,5,6,"No",175,75,"2025-06-09"
"Diego Hernán","Martínez",257048,"Male","Argentina","Huracán",111711,5,6,"No",175,75,"2025-12-03"
"Saad","Al Shehri",250449,"Male","Saudi Arabia","Al Ettifaq",112096,6,7,"No",175,75,"2025-01-30"
"Kyeong Ho","Jeong",271558,"Male","Korea Republic","Gangwon FC",112115,4,4,"No",180,75,"2024-12-06"
"Even","Sel",82874,"Male","Norway","Sarpsborg 08",112199,6,7,"No",180,75,"2025-12-22"
"José Manuel","Teixeira Gomes",249775,"Male","Portugal","Al Fateh",112390,6,2,"No",180,75,"2024-12-12"
"Péricles","Oliveira Chamusca",250288,"Male","Brazil","Al Taawoun",112393,6,6,"No",180,75,"2025-07-18"
"Gary","van Egmond",83397,"Male","Australia","Western Sydney Wanderers",112427,5,7,"No",179,75,"2026-01-21"
"Hugo Filipe","Carvalho Oliveira",76388,"Male","Portugal","Famalicão",112809,5,8,"No",175,75,"2024-12-10"
"Pedro Emanuel","Martins Silva",250278,"Male","Portugal","Al Fayha",113057,5,5,"No",182,75,"2024-12-10"
"Clifford","Miranda",256352,"Male","India","Chennaiyin FC",113297,5,6,"No",173,75,"2026-02-02"
"Manuel","Márquez Roca",249969,"Male","Spain","FC Goa",113298,6,2,"No",175,75,"2023-06-01"
"David","Català",78041,"Male","Spain","Kerala Blasters FC",113299,6,8,"No",180,75,"2025-04-01"
"Tomasz","Tchorz",83884,"Male","Poland","SC Delhi",113301,5,3,"No",180,75,"2026-02-02"
"Amund","Skiri",70346,"Male","Norway","Kristiansund BK",113459,5,4,"No",178,75,"2023-08-25"
"Dorinel","Munteanu",275653,"Male","Romania","FC Hermannstadt",114147,5,4,"No",180,75,"2025-12-10"
"Eva-Maria","Virsinger",83003,"Female","Germany","TSG 1899 Hoffenheim",115999,6,8,"No",167,75,"2026-01-05"
"Friederike","Kromp",79415,"Female","Germany","Werder Bremen",116004,5,6,"No",170,75,"2025-07-01"
"Dario","Vidošić",75043,"Male","Australia","Brighton & Hove Albion",116013,5,4,"Yes",184,75,"2024-09-01"
"Natalia","Arroyo Clavell",272512,"Female","Spain","Aston Villa",116015,4,3,"Yes",170,75,"2025-01-15"
"Yerai","Martín Ramos",276684,"Male","Spain","Costa Adeje Tenerife",116332,6,4,"No",174,75,"2026-01-02"
"Andrés","París Escribano",82225,"Male","Spain","Levante UD",116333,6,3,"No",165,75,"2025-11-12"
"José Luis","Sánchez Vera",272476,"Male","Spain","Madrid CFF",116334,5,3,"Yes",174,75,"2026-01-14"
"David","Losada Andana",73052,"Male","Spain","Sevilla FC",116337,5,4,"No",170,75,"2024-07-01"
"Gareth","Taylor",268354,"Male","England","Liverpool",116343,5,4,"No",185,75,"2025-08-08"
"Eder","Maestre Eguia",73053,"Male","Spain","London City Lionesses",132176,5,9,"No",170,75,"2026-01-02"
