"info.firstname","info.surname","info.managerid","info.gender","nationality","team_name","team_id","domestic_prestige","profitability","info.real_face","info.height","info.weight","info.contract.jointeamdate"
"David","Navarro Arenaz",76100,"Male","Spain","Real Zaragoza",244,7,6,"No",175,75,"2026-03-02"
"Johannes Hoff","Thorup",273049,"Male","Denmark","SK Rapid",254,8,5,"No",184,75,"2026-01-01"
"Gonzalo Manuel","García-García",249491,"Male","Spain","Hajduk Split",263,9,5,"No",185,75,"2025-06-13"
"Steve","Cooper",251137,"Male","Wales","Brøndby IF",269,8,6,"Yes",182,75,"2025-09-09"
"Marko","Nikolić",256773,"Male","Serbia","AEK",278,9,8,"No",170,75,"2025-06-01"
"Alfred","Johansson",279614,"Male","Sweden","Rosenborg BK",298,7,7,"No",182,75,"2023-12-14"
"Bjarte Lunde","Aarsheim",249057,"Male","Norway","Viking FK",300,8,4,"No",177,75,"2021-01-01"
"Alan","Reynolds",149774,"Male","Republic of Ireland","Bohemians",305,7,3,"No",177,82,"2024-03-26"
"Filipe Amaral","Rino Coelho",82227,"Male","Portugal","Universitatea Craiova",308,9,6,"No",178,75,"2025-11-11"
"Constantin","Gâlcă",249154,"Male","Romania","FC Rapid",310,8,7,"No",178,75,"2025-06-03"
"Gerald","Scheiblehner",275685,"Male","Austria","Grasshopper Club Zürich",322,7,5,"No",181,75,"2025-06-23"
"Domenico","Tedesco",249271,"Male","Germany","Fenerbahçe",326,9,7,"No",177,75,"2025-09-09"
"Sergen","Yalçın",250477,"Male","Turkey","Beşiktaş",327,8,7,"No",176,75,"2025-08-30"
"Răzvan","Lucescu",250354,"Male","Romania","PAOK",393,9,9,"No",179,75,"2021-07-01"
"Martin","Falk",77060,"Male","Sweden","Molde FK",417,8,7,"No",184,75,"2025-12-21"
"Jørgen","Vik",279923,"Male","Norway","Tromsø IL",418,7,5,"No",176,75,"2024-01-08"
"Michal","Gašparík",79050,"Male","Slovakia","Górnik Zabrze",420,7,8,"No",179,75,"2025-07-01"
"Stephen","Kenny",250535,"Male","Republic of Ireland","St Patrick's Athletic",423,7,6,"No",175,75,"2024-05-16"
"José Luis","Riveiro Cabaleiro",269851,"Male","Spain","AIK",433,8,3,"No",175,75,"2022-06-25"
"Fatih","Tekke",143294,"Male","Turkey","Trabzonspor",436,7,9,"No",178,75,"2025-03-11"
"Tiernan","Lynch",75798,"Male","Northern Ireland","Derry City",445,9,9,"No",178,75,"2024-11-20"
"Ernesto","Valverde Tejedor",249332,"Male","Spain","Athletic Club de Bilbao",448,7,10,"Yes",169,75,"2024-07-17"
"Pellegrino","Matarazzo",254885,"Male","United States","Real Sociedad",457,7,6,"No",198,75,"2025-12-20"
"Borja","Jiménez Sáez",257378,"Male","Spain","Real Sporting de Gijón",459,7,6,"Yes",175,75,"2025-10-08"
"Carlos","Corberán Valle",257433,"Male","Spain","Valencia CF",461,7,6,"Yes",188,75,"2022-10-25"
"Luis","García Plaza",249939,"Male","Spain","Sevilla FC",481,8,4,"No",180,75,"2026-03-24"
"Marcelino","García Toral",241611,"Male","Spain","Villarreal CF",483,8,6,"Yes",170,73,"2023-11-14"
"Timo","Schultz",257258,"Male","Germany","VfL Osnabrück",487,9,3,"No",180,75,"2024-01-04"
"Daniel","Scherning",262810,"Male","Germany","SV Wehen Wiesbaden",492,9,3,"No",189,75,"2025-11-10"
"Argirios","Giannikis",249019,"Male","Greece","1. FC Saarbrücken",523,8,2,"No",182,75,"2024-01-10"
"Michael","Wimmer",272000,"Male","Germany","Jahn Regensburg",543,7,3,"No",184,75,"2025-05-23"
"Nicky","Hayen",254486,"Male","Belgium","Genk",673,9,8,"No",188,75,"2026-01-05"
"Rik","De Mil",274862,"Male","Belgium","Gent",674,8,6,"No",175,75,"2023-03-08"
"Björn","Hamberg",84201,"Male","Sweden","IF Elfsborg",700,7,6,"No",178,75,"2026-02-19"
"Jani","Honkavaara",76466,"Male","Finland","Djurgårdens IF",710,9,8,"No",180,75,"2025-01-01"
"Jens","Gustafsson",249657,"Male","Sweden","BK Häcken",711,8,7,"No",182,75,"2025-01-01"
"Dennis","Hediger",82505,"Male","Switzerland","FC Zürich",894,7,5,"No",175,75,"2025-10-23"
"Enrico","Maaßen",262686,"Male","Germany","FC St. Gallen",898,7,4,"No",178,75,"2024-07-01"
"Gerardo","Seoane",138420,"Male","Switzerland","BSC Young Boys",900,9,5,"No",186,83,"2025-10-31"
"Gi Dong","Kim",249856,"Male","Korea Republic","FC Seoul",982,7,9,"No",171,75,"2023-12-14"
"Damián","Ayude",79010,"Male","Argentina","San Lorenzo de Almagro",1013,7,3,"No",178,75,"2025-06-04"
"Hyun Seok","Kim",71991,"Male","Korea Republic","Ulsan HD FC",1473,8,10,"No",178,75,"2025-12-24"
"Tae Ha","Park",250558,"Male","Korea Republic","Pohang Steelers",1474,9,8,"No",177,75,"2023-12-15"
"Mike","Tullberg",76709,"Male","Denmark","FC Midtjylland",1516,9,9,"No",189,75,"2025-09-02"
"Fabio","Caserta",251209,"Male","Italy","Empoli",1746,8,7,"No",179,75,"2026-03-10"
"Filippo","Inzaghi",262282,"Male","Italy","Palermo",1843,9,9,"No",181,75,"2025-07-01"
"Rafael","Benítez Maudes",233859,"Male","Spain","Panathinaikos",1884,9,5,"Yes",175,75,"2025-10-24"
"Juan Carlos","Vicens Gómez",78915,"Male","Spain","Sporting de Braga",1896,8,8,"No",170,75,"2025-05-28"
"David","Hubert",75243,"Male","Belgium","Union Saint-Gilloise",2014,9,7,"No",184,75,"2024-09-19"
"Alexander","Medina",251008,"Male","Uruguay","Estudiantes de La Plata",101083,8,3,"No",178,75,"2026-02-23"
"Gustavo","Costas",249512,"Male","Argentina","Racing Club de Avellaneda",101085,9,5,"No",184,75,"2024-01-01"
"Guillermo","Barros Schelotto",142988,"Male","Argentina","Vélez Sarsfield",101088,7,3,"No",171,71,"2025-03-18"
"Gustavo","Quinteros",249516,"Male","Bolivia","Independiente",110093,8,1,"No",181,75,"2025-09-22"
"Pavel","Dotchev",250269,"Male","Bulgaria","SSV Ulm 1846",110176,8,2,"No",176,75,"2025-11-16"
"Martin","Hysky",82734,"Male","Czech Republic","Viktoria Plzeň",110468,9,5,"No",183,75,"2025-10-01"
"Adrian","Siemieniec",275035,"Male","Poland","Jagiellonia Białystok",110745,8,5,"No",180,75,"2023-04-04"
"Luka","Elsner",251153,"Male","Slovenia","Cracovia",110747,8,7,"No",177,75,"2025-06-03"
"Cristiano","Bergodi",249164,"Male","Italy","Universitatea Cluj",110751,7,6,"No",188,75,"2025-10-23"
"Michael","Valkanis",181489,"Male","Australia","Brisbane Roar",111395,8,6,"No",181,79,"2025-05-07"
"Warren","Moon",257419,"Male","Australia","Central Coast Mariners",111396,8,2,"No",183,75,"2025-10-15"
"Arthur","Diles",76092,"Male","Australia","Melbourne Victory",111397,9,8,"No",175,75,"2025-01-31"
"Óscar","Bruzón Barreras",75482,"Male","Spain","East Bengal FC",111629,7,8,"No",178,75,"2024-10-08"
"Vladimir","Ivić",250669,"Male","Serbia","Al Ain FC (UAE)",111701,9,8,"No",191,75,"2025-02-04"
"Paolo","Bianco",275873,"Male","Italy","Monza",111811,7,8,"No",184,75,"2025-07-01"
"Karl Marius","Aksum",82280,"Male","Norway","Mjällby AIF",112072,8,7,"No",180,75,"2025-11-18"
"Jorge Fernando","Pinheiro de Jesus",249725,"Male","Portugal","Al Nassr",112139,9,10,"No",175,75,"2025-07-14"
"Aurelio","Vidmar",279003,"Male","Australia","Melbourne City",112224,7,10,"No",180,75,"2023-11-01"
"Matthias","Jaissle",263026,"Male","Germany","Al Ahli",112387,8,10,"No",186,75,"2023-07-28"
"Brendan","Rodgers",249063,"Male","Northern Ireland","Al Qadsiah",112391,7,8,"Yes",170,75,"2025-12-16"
"Petr","Krátký",279696,"Male","Czech Republic","Mumbai City FC",113300,8,10,"No",178,75,"2023-12-09"
"Renedy","Singh",83274,"Male","India","Bengaluru FC",113302,7,6,"No",176,75,"2025-11-01"
"Luca","D'Angelo",251208,"Male","Italy","Spezia",113974,7,8,"No",184,75,"2026-03-23"
"Łukasz","Tomczyk",82851,"Male","Poland","Raków Częstochowa",114326,9,10,"No",183,75,"2025-12-22"
"Roberto","Pätzold",262990,"Male","Germany","Bayer 04 Leverkusen",115996,7,8,"Yes",176,75,"2024-07-01"
"Niko","Arnautis",271639,"Male","Germany","Eintracht Frankfurt",115997,8,9,"Yes",170,75,"2024-07-17"
"Edmond","Kapllani",79416,"Male","Albania","SC Freiburg",116002,7,6,"No",185,75,"2025-07-01"
"Renée","Slegers",75397,"Female","Holland","Arsenal",116009,9,10,"No",163,75,"2024-10-16"
"Marc","Skinner",268353,"Male","England","Manchester United",116012,8,9,"Yes",170,75,"2021-07-29"
"Andrée","Jeglertz",79563,"Male","Sweden","Manchester City",116017,8,8,"No",175,75,"2025-07-03"
"Pau","Quesada Tormos",79144,"Male","Spain","Real Madrid",116326,9,10,"No",180,75,"2025-06-17"
"Javier","Lerga Garayoa",79261,"Male","Spain","Athletic Club de Bilbao",116328,7,4,"No",187,75,"2025-07-01"
"Arturo","Ruiz Álvarez",71720,"Male","Spain","Real Sociedad",116336,8,7,"Yes",175,75,"2025-05-28"
"Jiří","Vágner",74217,"Male","Czech Republic","Slavia Praha",131360,9,5,"No",175,75,"2024-06-17"
